seed	boss	split	outcome	turns_played	actions_played	fallback_actions	entry_hp	player_hp	player_hp_delta	entry_encounter_hp	encounter_hp_remaining	encounter_hp_removed	score_kind	score	final_screen	last_action	monsters_hp_remaining
6668174074408538263	AwakenedOne	train	loss	15	96	0	67	0	-67	699	188	511	monster_hp_delta	511	Terminal	{"op":"end_turn"}	AwakenedOne:phase_2:188/300
8167827564512724233	AwakenedOne	train	loss	14	111	0	60	0	-60	688	55	633	monster_hp_delta	633	Terminal	{"op":"end_turn"}	AwakenedOne:phase_2:55/300
3452048059138016570	DonuAndDeca	train	loss	16	81	0	47	0	-47	500	208	292	monster_hp_delta	292	Terminal	{"op":"end_turn"}	Deca:149/250,Donu:59/250
1464857332254472218	AwakenedOne	val	win	17	123	0	60	8	-52	707	0	707	player_hp_delta	-52	Terminal	{"index":0,"op":"choose"}	-
102717358788954134	AwakenedOne	train	win	9	81	0	86	60	-26	703	0	703	player_hp_delta	-26	Terminal	{"index":0,"op":"choose"}	-
353767981956357709	AwakenedOne	test	loss	14	92	0	75	0	-75	703	227	476	monster_hp_delta	476	Terminal	{"op":"end_turn"}	AwakenedOne:phase_2:227/300
944757949785385870	TimeEater	train	loss	12	64	0	63	0	-63	456	73	383	monster_hp_delta	383	Terminal	{"op":"end_turn"}	TimeEater:73/456
2040700049026348257	DonuAndDeca	train	loss	11	64	0	82	0	-82	500	156	344	monster_hp_delta	344	Terminal	{"op":"end_turn"}	Deca:145/250,Donu:11/250
2663009363983082260	AwakenedOne	train	loss	10	68	0	76	0	-76	700	188	512	monster_hp_delta	512	Terminal	{"op":"end_turn"}	AwakenedOne:phase_2:188/300
1702147585148394717	TimeEater	val	loss	11	58	0	55	0	-55	456	85	371	monster_hp_delta	371	Terminal	{"op":"end_turn"}	TimeEater:85/456
7982420236221140463	TimeEater	train	win	14	69	0	72	48	-24	456	0	456	player_hp_delta	-24	Terminal	{"index":0,"op":"choose"}	-
2705254563859712625	AwakenedOne	train	loss	6	45	0	32	0	-32	704	458	246	monster_hp_delta	246	Terminal	{"op":"end_turn"}	AwakenedOne:phase_1:158/300,AwakenedOne:phase_2_latent:300/300
5233697561264689681	TimeEater	train	loss	9	62	0	71	0	-71	456	198	258	monster_hp_delta	258	Terminal	{"hand_index":5,"op":"play","target_index":0}	TimeEater:198/456
8139360032845266021	TimeEater	train	win	9	61	0	71	39	-32	456	0	456	player_hp_delta	-32	Terminal	{"index":0,"op":"choose"}	-
8243906897262038054	AwakenedOne	val	loss	9	56	0	68	0	-68	703	274	429	monster_hp_delta	429	Terminal	{"op":"end_turn"}	AwakenedOne:phase_2:274/300
4627284871390878839	AwakenedOne	train	loss	17	101	0	57	0	-57	704	228	476	monster_hp_delta	476	Terminal	{"op":"end_turn"}	AwakenedOne:phase_2:228/300
373267374943833114	AwakenedOne	test	loss	10	60	0	80	0	-80	699	441	258	monster_hp_delta	258	Terminal	{"op":"end_turn"}	AwakenedOne:phase_1:141/300,AwakenedOne:phase_2_latent:300/300
7754470684451317546	TimeEater	train	loss	8	50	0	42	0	-42	456	162	294	monster_hp_delta	294	Terminal	{"op":"end_turn"}	TimeEater:162/456
3775402208690918084	DonuAndDeca	train	loss	8	50	0	68	0	-68	494	230	264	monster_hp_delta	264	Terminal	{"op":"end_turn"}	Deca:150/250,Donu:80/250
676645032355161549	AwakenedOne	train	loss	5	29	0	59	0	-59	706	582	124	monster_hp_delta	124	Terminal	{"op":"end_turn"}	AwakenedOne:phase_1:282/300,AwakenedOne:phase_2_latent:300/300
8980732766182364000	TimeEater	train	loss	12	63	0	80	0	-80	456	116	340	monster_hp_delta	340	Terminal	{"op":"end_turn"}	TimeEater:116/456
8898495195126152237	AwakenedOne	test	win	17	115	0	85	57	-28	700	0	700	player_hp_delta	-28	Terminal	{"index":0,"op":"choose"}	-
5133272008552506568	TimeEater	val	loss	9	54	0	86	0	-86	456	99	357	monster_hp_delta	357	Terminal	{"hand_index":8,"op":"play","target_index":0}	TimeEater:99/456
2147902511769627978	DonuAndDeca	test	loss	9	57	0	95	0	-95	500	327	173	monster_hp_delta	173	Terminal	{"op":"end_turn"}	Deca:225/250,Donu:102/250
4429677059605625310	TimeEater	train	loss	8	41	0	61	0	-61	456	67	389	monster_hp_delta	389	Terminal	{"op":"end_turn"}	TimeEater:67/456
3347874241241368287	DonuAndDeca	train	win	17	102	0	80	25	-55	500	0	500	player_hp_delta	-55	Terminal	{"index":0,"op":"choose"}	-
9205456494351441467	DonuAndDeca	train	loss	14	76	0	70	0	-70	500	126	374	monster_hp_delta	374	Terminal	{"op":"end_turn"}	Deca:105/250,Donu:21/250
275516646116031372	TimeEater	train	loss	11	51	0	83	0	-83	456	150	306	monster_hp_delta	306	Terminal	{"op":"end_turn"}	TimeEater:150/456
1671982945807100015	DonuAndDeca	train	loss	11	77	0	53	0	-53	500	85	415	monster_hp_delta	415	Terminal	{"op":"end_turn"}	Deca:85/250
755126254856772995	TimeEater	train	win	10	56	0	74	21	-53	456	0	456	player_hp_delta	-53	Terminal	{"index":0,"op":"choose"}	-
2558155756080989317	TimeEater	train	loss	8	40	0	65	0	-65	456	157	299	monster_hp_delta	299	Terminal	{"op":"end_turn"}	TimeEater:157/456
3389864731705395358	TimeEater	train	win	12	54	0	55	7	-48	453	0	453	player_hp_delta	-48	Terminal	{"index":0,"op":"choose"}	-
2137633325934690077	AwakenedOne	val	win	14	102	0	59	51	-8	705	0	705	player_hp_delta	-8	Terminal	{"index":0,"op":"choose"}	-
522408867443381318	TimeEater	train	win	8	58	0	68	15	-53	453	0	453	player_hp_delta	-53	Terminal	{"index":0,"op":"choose"}	-
2884977540211704838	AwakenedOne	train	loss	15	109	0	70	0	-70	703	162	541	monster_hp_delta	541	Terminal	{"op":"end_turn"}	AwakenedOne:phase_2:162/300
6077522619567501898	DonuAndDeca	val	loss	9	48	0	64	0	-64	500	105	395	monster_hp_delta	395	Terminal	{"op":"end_turn"}	Deca:96/250,Donu:9/250
4278281104323396077	AwakenedOne	test	win	22	156	0	73	20	-53	700	0	700	player_hp_delta	-53	Terminal	{"index":0,"op":"choose"}	-
2806602527946197635	AwakenedOne	train	win	10	77	0	77	46	-31	698	0	698	player_hp_delta	-31	Terminal	{"index":0,"op":"choose"}	-
7778681723403902096	AwakenedOne	train	win	16	98	0	58	34	-24	702	0	702	player_hp_delta	-24	Terminal	{"index":0,"op":"choose"}	-
6077798218372876055	DonuAndDeca	train	win	13	82	0	37	10	-27	500	0	500	player_hp_delta	-27	Terminal	{"index":0,"op":"choose"}	-
44452876766858009	TimeEater	test	loss	6	30	0	80	0	-80	456	219	237	monster_hp_delta	237	Terminal	{"hand_index":0,"op":"play"}	TimeEater:219/456
715191394985553784	DonuAndDeca	train	loss	7	38	0	64	0	-64	500	268	232	monster_hp_delta	232	Terminal	{"op":"end_turn"}	Deca:208/250,Donu:60/250
1193158823381522701	TimeEater	test	loss	8	45	0	80	0	-80	456	182	274	monster_hp_delta	274	Terminal	{"op":"end_turn"}	TimeEater:182/456
4662559468571651410	TimeEater	train	loss	12	57	0	80	0	-80	456	85	371	monster_hp_delta	371	Terminal	{"hand_index":0,"op":"play","target_index":0}	TimeEater:85/456
5860593532310446559	DonuAndDeca	train	loss	2	24	0	30	0	-30	500	414	86	monster_hp_delta	86	Terminal	{"op":"end_turn"}	Deca:235/250,Donu:179/250
6448442739287628664	DonuAndDeca	val	loss	11	74	0	71	0	-71	494	54	440	monster_hp_delta	440	Terminal	{"op":"end_turn"}	Deca:54/250
2216185196649872384	TimeEater	train	loss	7	39	0	63	0	-63	456	237	219	monster_hp_delta	219	Terminal	{"op":"end_turn"}	TimeEater:237/456
5175793080221759639	AwakenedOne	train	loss	11	76	0	68	0	-68	703	301	402	monster_hp_delta	402	Terminal	{"op":"end_turn"}	AwakenedOne:phase_1:1/300,AwakenedOne:phase_2_latent:300/300
1725221186874095878	AwakenedOne	train	loss	6	34	0	53	0	-53	700	491	209	monster_hp_delta	209	Terminal	{"op":"end_turn"}	AwakenedOne:phase_1:191/300,AwakenedOne:phase_2_latent:300/300
227533671132326511	AwakenedOne	val	loss	6	50	0	71	0	-71	701	383	318	monster_hp_delta	318	Terminal	{"op":"end_turn"}	AwakenedOne:phase_1:83/300,AwakenedOne:phase_2_latent:300/300
310507521043348036	TimeEater	train	win	11	69	0	91	1	-90	456	0	456	player_hp_delta	-90	Terminal	{"index":0,"op":"choose"}	-
3079720285593501812	AwakenedOne	train	win	14	80	0	68	6	-62	707	0	707	player_hp_delta	-62	Terminal	{"index":0,"op":"choose"}	-
2839530400490939686	TimeEater	train	loss	11	64	0	65	0	-65	456	72	384	monster_hp_delta	384	Terminal	{"op":"end_turn"}	TimeEater:72/456
2935177907705278076	AwakenedOne	train	loss	16	99	0	75	0	-75	700	117	583	monster_hp_delta	583	Terminal	{"op":"end_turn"}	AwakenedOne:phase_2:117/300
320947515621189666	AwakenedOne	train	loss	13	80	0	73	0	-73	700	246	454	monster_hp_delta	454	Terminal	{"op":"end_turn"}	AwakenedOne:phase_2:246/300
5436344239069818774	AwakenedOne	train	loss	9	67	0	75	0	-75	705	331	374	monster_hp_delta	374	Terminal	{"op":"end_turn"}	AwakenedOne:phase_1:31/300,AwakenedOne:phase_2_latent:300/300
5600402162460258978	DonuAndDeca	train	loss	6	44	0	60	0	-60	500	347	153	monster_hp_delta	153	Terminal	{"op":"end_turn"}	Deca:233/250,Donu:114/250
8895939405627715286	TimeEater	train	loss	8	51	0	63	0	-63	456	161	295	monster_hp_delta	295	Terminal	{"op":"end_turn"}	TimeEater:161/456
3015843538667368417	DonuAndDeca	train	loss	6	38	0	85	0	-85	500	196	304	monster_hp_delta	304	Terminal	{"op":"end_turn"}	Deca:109/250,Donu:87/250
8147249568747180022	TimeEater	train	win	9	59	0	75	12	-63	456	0	456	player_hp_delta	-63	Terminal	{"index":0,"op":"choose"}	-
